	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
163	Related Proteins	MGYP000532939849		MGYP000532939849,MGYP003682905471	MGYP003682905471					11.75	11.75	58.73	2	2	2	2	3	3					95.58099956952609	35.27777634463843	83.50202429149797	Confident
164	Single Protein	MGYP003687595469		MGYP003687595469						13.64	21.59	82.95	3	2	2	1	4	2	Oxidation of M (M108, M111)	Oxidation of M (2)			135.29730532672642	19.27952986598081	64.0	Doubtful
165	Related Proteins	MGYP003683519547		MGYP003683519547,MGYP003686202889	MGYP003686202889					1.94	1.94	73.67	2	2	2	2	2	2					19.832737527813308	124.19773587910703	66.02265156562292	Confident
166	Single Protein	MGYP003690417607		MGYP003690417607						10.22	10.22	48.92	1	1	1	1	1	1					58.09825464030016	19.192973107660148	73.36412625096229	Doubtful
167	Related Proteins	MGYP003681970797		MGYP003681970797,MGYP003683170905,MGYP003683785165,MGYP003684164071,MGYP003684254355	MGYP003683170905,MGYP003683785165,MGYP003684164071,MGYP003684254355					3.91	5.11	59.89	3	2	1	1	3	2					17.49121007470666	98.99465471479094	73.36412625096229	Confident
168	Related Proteins	MGYP000019651155		MGYP000019651155,MGYP000023405410,MGYP000405646499,MGYP000607569889,MGYP001486395142,MGYP002034834078,MGYP003683662833,MGYP003683823371,MGYP003686272667,MGYP003688075181,MGYP003688132433,MGYP003691685027,MGYP003692079705	MGYP000023405410,MGYP000405646499,MGYP000607569889,MGYP001486395142,MGYP002034834078,MGYP003683662833,MGYP003683823371,MGYP003686272667,MGYP003688075181,MGYP003688132433,MGYP003691685027,MGYP003692079705					11.65	11.65	76.7	1	1	1	1	1	1					125.02156061836745	11.418398442252322	73.36412625096229	Doubtful
169	Related Proteins	MGYP003682953655		MGYP003682953655,MGYP003683033113,MGYP003683238649,MGYP003683381655,MGYP003683588187,MGYP003683604411,MGYP003683758011,MGYP003684223987,MGYP003684265087,MGYP003684364931,MGYP003684548513,MGYP003684687617,MGYP003684716169,MGYP003685326095,MGYP003685328777,MGYP003685377897,MGYP003685399163,MGYP003685459609,MGYP003685469835,MGYP003685848671,MGYP003685893797,MGYP003686026281,MGYP003686307751,MGYP003686312495,MGYP003686335647,MGYP003687452277,MGYP003687552483,MGYP003687915635,MGYP003688133267,MGYP003688166071,MGYP003688247041,MGYP003688247757,MGYP003688289965,MGYP003688540433,MGYP003688564387,MGYP003689010737,MGYP003689179395,MGYP003689312531,MGYP003689736147,MGYP003689810087,MGYP003689887547,MGYP003689931119,MGYP003690364781,MGYP003690615835,MGYP003690726859,MGYP003690788975,MGYP003690994455,MGYP003691001937,MGYP003691331407,MGYP003691401301,MGYP003691474201,MGYP003691541925,MGYP003691626135	MGYP003683033113,MGYP003683238649,MGYP003683381655,MGYP003683588187,MGYP003683604411,MGYP003683758011,MGYP003684223987,MGYP003684265087,MGYP003684364931,MGYP003684548513,MGYP003684687617,MGYP003684716169,MGYP003685326095,MGYP003685328777,MGYP003685377897,MGYP003685399163,MGYP003685459609,MGYP003685469835,MGYP003685848671,MGYP003685893797,MGYP003686026281,MGYP003686307751,MGYP003686312495,MGYP003686335647,MGYP003687452277,MGYP003687552483,MGYP003687915635,MGYP003688133267,MGYP003688166071,MGYP003688247041,MGYP003688247757,MGYP003688289965,MGYP003688540433,MGYP003688564387,MGYP003689010737,MGYP003689179395,MGYP003689312531,MGYP003689736147,MGYP003689810087,MGYP003689887547,MGYP003689931119,MGYP003690364781,MGYP003690615835,MGYP003690726859,MGYP003690788975,MGYP003690994455,MGYP003691001937,MGYP003691331407,MGYP003691401301,MGYP003691474201,MGYP003691541925,MGYP003691626135					5.9	5.9	77.78	2	2	2	2	4	4	Oxidation of M (M107, M109)	Oxidation of M (2)			156.15341168143917	32.43318005039753	83.50202429149797	Confident
170	Related Proteins	MGYP003682318213		MGYP003682318213,MGYP003683346047,MGYP003683567303,MGYP003683591383,MGYP003684470119,MGYP003685343519,MGYP003686594809,MGYP003686686737,MGYP003687022997,MGYP003687108819,MGYP003688172629,MGYP003688549663,MGYP003688884481,MGYP003689274043,MGYP003690100621,MGYP003691105439,MGYP003691269795,MGYP003691688485,MGYP003692115697	MGYP003683346047,MGYP003683567303,MGYP003683591383,MGYP003684470119,MGYP003685343519,MGYP003686594809,MGYP003686686737,MGYP003687022997,MGYP003687108819,MGYP003688172629,MGYP003688549663,MGYP003688884481,MGYP003689274043,MGYP003690100621,MGYP003691105439,MGYP003691269795,MGYP003691688485,MGYP003692115697					7.93	7.93	68.29	1	1	1	1	1	1	Oxidation of M (M32)	Oxidation of M (1)			66.28659925403375	17.69364534644177	73.36412625096229	Doubtful
171	Related Proteins	MGYP003682320321		MGYP003682320321,MGYP003683768551,MGYP003684709639,MGYP003685981423,MGYP003686006873,MGYP003687565751,MGYP003687596713,MGYP003688069649,MGYP003688282583,MGYP003688882503,MGYP003688963285,MGYP003691292195	MGYP003683768551,MGYP003684709639,MGYP003685981423,MGYP003686006873,MGYP003687565751,MGYP003687596713,MGYP003688069649,MGYP003688282583,MGYP003688882503,MGYP003688963285,MGYP003691292195					24.56	24.56	92.98	1	1	1	1	1	1					186.35289224247222	6.09501904068792	73.36412625096229	Doubtful
172	Related Proteins	MGYP000013161694		MGYP000013161694,MGYP003683003347,MGYP003687753481	MGYP003683003347,MGYP003687753481					47.83	47.83	84.78	3	3	1	1	4	3	Oxidation of M (M68)	Oxidation of M (1)			379.8732034173472	9.42389206883675	73.36412625096229	Confident
173	Related Proteins	MGYP001077656612		MGYP001077656612,MGYP001138556583,MGYP001422689609,MGYP003682541325,MGYP003683141433,MGYP003683322535,MGYP003683362391,MGYP003684226179,MGYP003684245543,MGYP003684273535,MGYP003684402291,MGYP003684417583,MGYP003684575787,MGYP003684748335,MGYP003684934337,MGYP003684982597,MGYP003685206577,MGYP003685579425,MGYP003685942013,MGYP003685967149,MGYP003685983769,MGYP003686139325,MGYP003686307111,MGYP003686614143,MGYP003686736351,MGYP003686792147,MGYP003687089289,MGYP003687160043,MGYP003687348231,MGYP003687431767,MGYP003687571897,MGYP003687585873,MGYP003687668795,MGYP003687897363,MGYP003688008519,MGYP003688452827,MGYP003688599419,MGYP003688696333,MGYP003688719483,MGYP003688809163,MGYP003689762351,MGYP003690596529,MGYP003690821037,MGYP003690867527,MGYP003691213911,MGYP003691228631,MGYP003691309845,MGYP003691413975,MGYP003691489905,MGYP003691636739,MGYP003691666531,MGYP003691771303,MGYP003691851301	MGYP001138556583,MGYP001422689609,MGYP003682541325,MGYP003683141433,MGYP003683322535,MGYP003683362391,MGYP003684226179,MGYP003684245543,MGYP003684273535,MGYP003684402291,MGYP003684417583,MGYP003684575787,MGYP003684748335,MGYP003684934337,MGYP003684982597,MGYP003685206577,MGYP003685579425,MGYP003685942013,MGYP003685967149,MGYP003685983769,MGYP003686139325,MGYP003686307111,MGYP003686614143,MGYP003686736351,MGYP003686792147,MGYP003687089289,MGYP003687160043,MGYP003687348231,MGYP003687431767,MGYP003687571897,MGYP003687585873,MGYP003687668795,MGYP003687897363,MGYP003688008519,MGYP003688452827,MGYP003688599419,MGYP003688696333,MGYP003688719483,MGYP003688809163,MGYP003689762351,MGYP003690596529,MGYP003690821037,MGYP003690867527,MGYP003691213911,MGYP003691228631,MGYP003691309845,MGYP003691413975,MGYP003691489905,MGYP003691636739,MGYP003691666531,MGYP003691771303,MGYP003691851301					7.5	7.5	58.0	1	1	1	1	1	1					54.56742148536479	20.921671672610152	73.36412625096229	Doubtful
174	Related Proteins	MGYP003683597929		MGYP003683597929,MGYP003683731949,MGYP003684121337,MGYP003687564217,MGYP003687998937,MGYP003688008111,MGYP003689565193,MGYP003690495285,MGYP003690600995,MGYP003691459849,MGYP003692480119	MGYP003683731949,MGYP003684121337,MGYP003687564217,MGYP003687998937,MGYP003688008111,MGYP003689565193,MGYP003690495285,MGYP003690600995,MGYP003691459849,MGYP003692480119					6.98	6.98	53.49	2	2	2	2	2	2	Oxidation of M (M100)	Oxidation of M (1)			126.62440113911575	18.854129073706567	79.61783439490446	Confident
175	Related Proteins	MGYP000278209831		MGYP000278209831,MGYP003682358965,MGYP003682366923,MGYP003683507749,MGYP003683794107,MGYP003684121975,MGYP003684295465,MGYP003684606485,MGYP003685689481,MGYP003685856369,MGYP003686086655,MGYP003686132891,MGYP003686699693,MGYP003686903389,MGYP003687464063,MGYP003687470687,MGYP003687489005,MGYP003687558423,MGYP003687850271,MGYP003690332903	MGYP003682358965,MGYP003682366923,MGYP003683507749,MGYP003683794107,MGYP003684121975,MGYP003684295465,MGYP003684606485,MGYP003685689481,MGYP003685856369,MGYP003686086655,MGYP003686132891,MGYP003686699693,MGYP003686903389,MGYP003687464063,MGYP003687470687,MGYP003687489005,MGYP003687558423,MGYP003687850271,MGYP003690332903					4.41	4.41	59.66	1	1	1	1	1	1					22.194838851350625	50.83954001003039	73.36412625096229	Doubtful
176	Related Proteins	MGYP000094166401		MGYP000094166401,MGYP003682672083,MGYP003683479781,MGYP003684646539,MGYP003685106547,MGYP003685138117,MGYP003685399157,MGYP003685628847,MGYP003687974855,MGYP003687992701,MGYP003688832843,MGYP003689070861,MGYP003689278109,MGYP003689504623,MGYP003690369613,MGYP003691548241,MGYP003691622649	MGYP003682672083,MGYP003683479781,MGYP003684646539,MGYP003685106547,MGYP003685138117,MGYP003685399157,MGYP003685628847,MGYP003687974855,MGYP003687992701,MGYP003688832843,MGYP003689070861,MGYP003689278109,MGYP003689504623,MGYP003690369613,MGYP003691548241,MGYP003691622649					4.46	4.46	69.43	1	1	1	1	1	1					34.533927583395204	33.87472642403762	73.36412625096229	Doubtful
177	Related Proteins	MGYP003688419509		MGYP003688419509,MGYP003690831521	MGYP003690831521					8.93	8.93	83.93	1	1	1	1	1	1					105.07131158352156	12.50011823204485	73.36412625096229	Doubtful
178	Related Proteins	MGYP003684046541		MGYP003684046541,MGYP003687955451,MGYP003688662043	MGYP003687955451,MGYP003688662043					4.81	4.81	41.14	2	2	2	2	2	2					45.93815483186525	49.45025199104392	81.60152526215442	Confident
179	Related Proteins	MGYP003682047395		MGYP003682047395,MGYP003683703471,MGYP003684782311,MGYP003688438793	MGYP003683703471,MGYP003684782311,MGYP003688438793					5.03	5.03	52.07	1	1	1	1	1	1					31.354613615400087	36.73976352709286	73.36412625096229	Doubtful
180	Related Proteins	MGYP003683041175		MGYP003683041175,MGYP003683380397	MGYP003683380397					7.55	7.55	72.24	2	2	1	1	3	3					66.8851238522643	53.167933569502	83.50202429149797	Confident
181	Single Protein	MGYP003690303659		MGYP003690303659						17.77	20.36	56.87	8	6	1	1	9	7	Oxidation of M (M248, M314, M361)	Oxidation of M (3)			94.63740085136001	66.10815454506937	83.50202429149797	Confident
182	Related Proteins	MGYP000546533324		MGYP000546533324,MGYP003682281451,MGYP003682385539,MGYP003683003157,MGYP003683011457,MGYP003683364553,MGYP003683866805,MGYP003684604859,MGYP003684709847,MGYP003685096699,MGYP003685718671,MGYP003685903941,MGYP003686160593,MGYP003686173613,MGYP003686201029,MGYP003686397179,MGYP003686842689,MGYP003687138381,MGYP003687411793,MGYP003687502999,MGYP003687604395,MGYP003687669299,MGYP003688388191,MGYP003689048369,MGYP003689305755,MGYP003689475167,MGYP003689582103,MGYP003689704393,MGYP003689720887,MGYP003690000483,MGYP003690130731,MGYP003690800361,MGYP003691213299,MGYP003691381211,MGYP003691488623,MGYP003691516859,MGYP003691660921	MGYP003682281451,MGYP003682385539,MGYP003683003157,MGYP003683011457,MGYP003683364553,MGYP003683866805,MGYP003684604859,MGYP003684709847,MGYP003685096699,MGYP003685718671,MGYP003685903941,MGYP003686160593,MGYP003686173613,MGYP003686201029,MGYP003686397179,MGYP003686842689,MGYP003687138381,MGYP003687411793,MGYP003687502999,MGYP003687604395,MGYP003687669299,MGYP003688388191,MGYP003689048369,MGYP003689305755,MGYP003689475167,MGYP003689582103,MGYP003689704393,MGYP003689720887,MGYP003690000483,MGYP003690130731,MGYP003690800361,MGYP003691213299,MGYP003691381211,MGYP003691488623,MGYP003691516859,MGYP003691660921					3.92	3.92	40.78	2	1	2	1	2	1					41.325118363393415	27.79942051077633	66.00265604249668	Doubtful
183	Related Proteins	MGYP003681999161		MGYP003681999161,MGYP003683557597,MGYP003691768345	MGYP003683557597,MGYP003691768345					3.62	5.85	34.82	2	1	1	1	3	2	Oxidation of M (M298)	Oxidation of M (1)			84.77856900301312	37.776469440332335	83.50202429149797	Doubtful
184	Related Proteins	MGYP003682678177		MGYP003682678177,MGYP003683173429,MGYP003686384669	MGYP003683173429,MGYP003686384669					9.3	9.3	54.42	1	1	1	1	3	3					253.2488022782315	23.23259590019613	83.50202429149797	Doubtful
185	Related Proteins	MGYP003684728187		MGYP003684728187,MGYP003685294123,MGYP003686121103,MGYP003686591935	MGYP003685294123,MGYP003686121103,MGYP003686591935					4.04	4.04	62.96	1	1	1	1	1	1					36.580382551300104	32.26278143113454	73.36412625096229	Doubtful
186	Single Protein	MGYP000271241979		MGYP000271241979						12.43	14.89	74.96	7	6	5	4	8	7	Oxidation of M (M288)	Oxidation of M (1)			134.50763233843813	62.73312881108742	83.50202429149797	Confident
187	Related Proteins	MGYP001151852763		MGYP001151852763,MGYP003682702683,MGYP003682822223,MGYP003682964513,MGYP003683439023,MGYP003683479087,MGYP003683938243,MGYP003685141505,MGYP003685971027,MGYP003688730039,MGYP003688969375,MGYP003689417025,MGYP003689427571,MGYP003690093771,MGYP003690475199	MGYP003682702683,MGYP003682822223,MGYP003682964513,MGYP003683439023,MGYP003683479087,MGYP003683938243,MGYP003685141505,MGYP003685971027,MGYP003688730039,MGYP003688969375,MGYP003689417025,MGYP003689427571,MGYP003690093771,MGYP003690475199					1.59	1.59	61.13	1	1	1	1	1	1					15.777481292094295	77.40519858944275	73.36412625096229	Doubtful
188	Related Proteins	MGYP003684151493		MGYP003684151493,MGYP003688681553	MGYP003688681553					2.69	2.69	58.35	1	1	1	1	1	1					19.366084880100054	58.76597082447544	73.36412625096229	Doubtful
189	Single Protein	MGYP003686526999		MGYP003686526999						33.33	33.33	88.89	1	1	1	1	1	1					246.9175822212757	4.5244459450639	73.36412625096229	Doubtful
190	Related Proteins	MGYP000026356190		MGYP000026356190,MGYP000048199531,MGYP000184989185,MGYP003683536427,MGYP003688004247	MGYP000048199531,MGYP000184989185,MGYP003683536427,MGYP003688004247					5.45	5.45	66.06	2	2	2	2	2	2					67.64865266336321	36.397435543075744	65.95460614152204	Confident
191	Single Protein	MGYP003686079435		MGYP003686079435						25.17	30.46	66.89	4	3	1	1	4	3	Acetylation of protein N-term (M0);Oxidation of M (M78)	Acetylation of protein N-term (1);Oxidation of M (1)			216.27817420841666	17.03897554522167	73.36412625096229	Confident
192	Related Proteins	MGYP003682730965		MGYP003682730965,MGYP003684032973,MGYP003684269267,MGYP003684359131,MGYP003684890009,MGYP003686158305,MGYP003686357937,MGYP003687025627,MGYP003688092755,MGYP003688121279	MGYP003684032973,MGYP003684269267,MGYP003684359131,MGYP003684890009,MGYP003686158305,MGYP003686357937,MGYP003687025627,MGYP003688092755,MGYP003688121279					6.37	6.37	35.78	1	1	1	1	1	1					50.39134331046442	21.98030806396582	73.36412625096229	Doubtful
193	Single Protein	MGYP003689752557		MGYP003689752557						28.24	28.24	90.0	3	3	1	1	3	3	Oxidation of M (M95)	Oxidation of M (1)			118.34829648950033	18.99605239907715	73.36412625096229	Confident
194	Related Proteins	MGYP003683337845		MGYP003683337845,MGYP003684567429,MGYP003686635641,MGYP003688541297,MGYP003690342333,MGYP003691552153	MGYP003684567429,MGYP003686635641,MGYP003688541297,MGYP003690342333,MGYP003691552153					2.09	2.09	49.84	1	1	1	1	1	1					11.084964409484881	103.74224743242587	64.0	Doubtful
195	Related Proteins	MGYP003682956965		MGYP003682956965,MGYP003689732701	MGYP003689732701					7.07	7.07	44.02	1	1	1	1	1	1					59.49821258343993	20.18358364340241	73.36412625096229	Doubtful
196	Single Protein	MGYP003685662755		MGYP003685662755						15.22	15.22	65.22	4	4	3	3	5	4					133.46896336285175	29.79389062161026	79.61783439490446	Confident
197	Related Proteins	MGYP003691780133		MGYP003691780133,MGYP003692136525	MGYP003692136525					11.83	11.83	68.1	2	2	1	1	2	2	Oxidation of M (M71)	Oxidation of M (1)			79.97330598259943	30.21415178214003	73.36412625096229	Confident
198	Single Protein	MGYP000296402639		MGYP000296402639						57.14	57.14	88.89	3	3	1	1	3	3					529.1091047598765	6.8594191872475205	73.36412625096229	Confident
199	Related Proteins	MGYP003682400869		MGYP003682400869,MGYP003682547427,MGYP003683312117,MGYP003683348533,MGYP003684891751,MGYP003686257231,MGYP003686500699,MGYP003687345989,MGYP003688757753,MGYP003688815553,MGYP003689097097,MGYP003689268705,MGYP003690003139,MGYP003690244443,MGYP003690340607,MGYP003690730585,MGYP003691930481	MGYP003682547427,MGYP003683312117,MGYP003683348533,MGYP003684891751,MGYP003686257231,MGYP003686500699,MGYP003687345989,MGYP003688757753,MGYP003688815553,MGYP003689097097,MGYP003689268705,MGYP003690003139,MGYP003690244443,MGYP003690340607,MGYP003690730585,MGYP003691930481					4.63	4.63	36.57	1	1	1	1	1	1					80.2984007223661	21.092113712200018	64.0	Doubtful
200	Single Protein	MGYP000221019148		MGYP000221019148						16.67	16.67	86.9	1	1	1	1	1	1					135.29730532672642	8.77345087947749	64.0	Doubtful
201	Related Proteins	MGYP003682148347		MGYP003682148347,MGYP003684005035,MGYP003684375379,MGYP003687236435,MGYP003690912447	MGYP003684005035,MGYP003684375379,MGYP003687236435,MGYP003690912447					6.03	6.03	41.96	2	2	1	1	2	2					57.75849876521069	47.45297200160794	73.36412625096229	Confident
202	Related Proteins	MGYP000019651155		MGYP000019651155,MGYP000405646499,MGYP002034834078,MGYP003683823371,MGYP003685013301,MGYP003686272667,MGYP003686583447,MGYP003688132433,MGYP003688884775	MGYP000405646499,MGYP002034834078,MGYP003683823371,MGYP003685013301,MGYP003686272667,MGYP003686583447,MGYP003688132433,MGYP003688884775					9.71	9.71	76.7	1	1	1	1	1	1					125.02156061836745	11.418398442252322	73.36412625096229	Doubtful
203	Related Proteins	MGYP001077656612		MGYP001077656612,MGYP003682193807,MGYP003682531801,MGYP003683050773,MGYP003683322535,MGYP003683615513,MGYP003683944233,MGYP003684212137,MGYP003684226179,MGYP003684508061,MGYP003684748335,MGYP003685016715,MGYP003685206577,MGYP003685230171,MGYP003685614053,MGYP003685703845,MGYP003685824295,MGYP003685882409,MGYP003686139325,MGYP003686182139,MGYP003686307111,MGYP003686360517,MGYP003686424087,MGYP003686525029,MGYP003686571519,MGYP003686614143,MGYP003686736351,MGYP003687089289,MGYP003687135047,MGYP003687160149,MGYP003687897363,MGYP003688169105,MGYP003688257521,MGYP003688413815,MGYP003688452827,MGYP003688599419,MGYP003688696333,MGYP003688809163,MGYP003688851113,MGYP003688924863,MGYP003688961745,MGYP003689208831,MGYP003689519281,MGYP003689820597,MGYP003689861353,MGYP003690520125,MGYP003690552353,MGYP003690576655,MGYP003690596529,MGYP003691162757,MGYP003691178663,MGYP003691228631,MGYP003691333301,MGYP003691396263,MGYP003691489905,MGYP003691535419,MGYP003691636739,MGYP003691666531,MGYP003691771303,MGYP003691790859,MGYP003691837087,MGYP003692068615,MGYP003692073439	MGYP003682193807,MGYP003682531801,MGYP003683050773,MGYP003683322535,MGYP003683615513,MGYP003683944233,MGYP003684212137,MGYP003684226179,MGYP003684508061,MGYP003684748335,MGYP003685016715,MGYP003685206577,MGYP003685230171,MGYP003685614053,MGYP003685703845,MGYP003685824295,MGYP003685882409,MGYP003686139325,MGYP003686182139,MGYP003686307111,MGYP003686360517,MGYP003686424087,MGYP003686525029,MGYP003686571519,MGYP003686614143,MGYP003686736351,MGYP003687089289,MGYP003687135047,MGYP003687160149,MGYP003687897363,MGYP003688169105,MGYP003688257521,MGYP003688413815,MGYP003688452827,MGYP003688599419,MGYP003688696333,MGYP003688809163,MGYP003688851113,MGYP003688924863,MGYP003688961745,MGYP003689208831,MGYP003689519281,MGYP003689820597,MGYP003689861353,MGYP003690520125,MGYP003690552353,MGYP003690576655,MGYP003690596529,MGYP003691162757,MGYP003691178663,MGYP003691228631,MGYP003691333301,MGYP003691396263,MGYP003691489905,MGYP003691535419,MGYP003691636739,MGYP003691666531,MGYP003691771303,MGYP003691790859,MGYP003691837087,MGYP003692068615,MGYP003692073439					9.0	9.0	58.0	1	1	1	1	2	2	Oxidation of M (M142, M151)	Oxidation of M (2)			109.13484297072958	20.921671672610152	83.50202429149797	Doubtful
204	Related Proteins	MGYP000013961955		MGYP000013961955,MGYP000470519684,MGYP003682295557,MGYP003683810743,MGYP003685412651,MGYP003685593013,MGYP003685766913,MGYP003688417171,MGYP003688429591,MGYP003688854357,MGYP003691509759	MGYP000470519684,MGYP003682295557,MGYP003683810743,MGYP003685412651,MGYP003685593013,MGYP003685766913,MGYP003688417171,MGYP003688429591,MGYP003688854357,MGYP003691509759					3.46	3.46	70.73	1	1	1	1	1	1					22.295041284088096	54.46314141955355	73.36412625096229	Doubtful
205	Related Proteins	MGYP000492128460		MGYP000492128460,MGYP000529193910,MGYP003682050869,MGYP003682847141,MGYP003684058939,MGYP003685321157,MGYP003685908061,MGYP003686389507,MGYP003686529411,MGYP003688638249,MGYP003688991641,MGYP003689210339,MGYP003690183157,MGYP003690333333,MGYP003690618765,MGYP003691523539,MGYP003691814887	MGYP000529193910,MGYP003682050869,MGYP003682847141,MGYP003684058939,MGYP003685321157,MGYP003685908061,MGYP003686389507,MGYP003686529411,MGYP003688638249,MGYP003688991641,MGYP003689210339,MGYP003690183157,MGYP003690333333,MGYP003690618765,MGYP003691523539,MGYP003691814887					11.3	11.3	59.32	1	1	1	1	1	1					61.34598316056539	19.67671540211419	73.36412625096229	Doubtful
206	Related Proteins	MGYP000119316678		MGYP000119316678,MGYP000228733571,MGYP000915161545,MGYP003111998886,MGYP003686159895,MGYP003687872209,MGYP003688307109	MGYP000228733571,MGYP000915161545,MGYP003111998886,MGYP003686159895,MGYP003687872209,MGYP003688307109					5.32	5.32	67.85	1	1	1	1	1	1	Oxidation of M (M247)	Oxidation of M (1)			27.35928888878401	43.0757648249485	73.36412625096229	Doubtful
207	Related Proteins	MGYP003683041265		MGYP003683041265,MGYP003686107607,MGYP003689612607	MGYP003686107607,MGYP003689612607					6.03	6.03	86.64	1	1	1	1	1	1					49.137827307716556	26.99395005628784	73.36412625096229	Doubtful
208	Related Proteins	MGYP000300462351		MGYP000300462351,MGYP000465490669,MGYP000553498619,MGYP001080694470,MGYP003682074051,MGYP003682232619,MGYP003682698717,MGYP003682897027,MGYP003683301033,MGYP003683714911,MGYP003683842635,MGYP003684326211,MGYP003684615281,MGYP003684626431,MGYP003684939231,MGYP003685365929,MGYP003685426833,MGYP003685459423,MGYP003685646405,MGYP003685682731,MGYP003686030295,MGYP003686364065,MGYP003686433161,MGYP003686519401,MGYP003687606293,MGYP003687642009,MGYP003689837659,MGYP003689849605	MGYP000465490669,MGYP000553498619,MGYP001080694470,MGYP003682074051,MGYP003682232619,MGYP003682698717,MGYP003682897027,MGYP003683301033,MGYP003683714911,MGYP003683842635,MGYP003684326211,MGYP003684615281,MGYP003684626431,MGYP003684939231,MGYP003685365929,MGYP003685426833,MGYP003685459423,MGYP003685646405,MGYP003685682731,MGYP003686030295,MGYP003686364065,MGYP003686433161,MGYP003686519401,MGYP003687606293,MGYP003687642009,MGYP003689837659,MGYP003689849605					3.07	3.07	72.91	1	1	1	1	1	1					30.961452316147422	39.63229389474048	73.36412625096229	Doubtful
209	Single Protein	MGYP003685868815		MGYP003685868815						31.03	31.03	87.93	1	1	1	1	1	1					193.66084880100055	5.886916782062539	73.36412625096229	Doubtful
210	Related Proteins	MGYP000123652817		MGYP000123652817,MGYP003682314669,MGYP003686978149	MGYP003682314669,MGYP003686978149					1.75	1.75	54.32	1	1	1	1	1	1					10.331279590848354	110.4496234554032	73.36412625096229	Doubtful
211	Single Protein	MGYP003684325709		MGYP003684325709						2.54	2.54	50.76	1	1	1	1	1	1					15.010187369074512	82.56896756374631	73.36412625096229	Doubtful
212	Related Proteins	MGYP000060659294		MGYP000060659294,MGYP000116370307,MGYP000193036993,MGYP000232634809,MGYP000244333651,MGYP000278892303,MGYP000316889932,MGYP000346025520,MGYP000349659168,MGYP000356612217,MGYP000488061906,MGYP000630631436,MGYP000726416071,MGYP001315166442,MGYP003682048715,MGYP003682086349,MGYP003682090929,MGYP003682099047,MGYP003682101527,MGYP003682137893,MGYP003682156507,MGYP003682173547,MGYP003682188199,MGYP003682237735,MGYP003682544041,MGYP003682707003,MGYP003682958837,MGYP003683000681,MGYP003683109135,MGYP003683162385,MGYP003683264447,MGYP003683571831,MGYP003683800083,MGYP003684763975,MGYP003685194703,MGYP003685239861,MGYP003685393167,MGYP003685420219,MGYP003685460223,MGYP003685723775,MGYP003685781245,MGYP003685798605,MGYP003685860209,MGYP003686119285,MGYP003686848801,MGYP003687582097,MGYP003687622569,MGYP003687769389,MGYP003687973433,MGYP003688088157,MGYP003688103987,MGYP003688126633,MGYP003688324673,MGYP003688701891,MGYP003688711383,MGYP003688940767,MGYP003690004415,MGYP003690108105,MGYP003690270173,MGYP003690394007,MGYP003690479813,MGYP003690508033,MGYP003690537909,MGYP003690762099,MGYP003691155237,MGYP003691462317,MGYP003692089521,MGYP003692184995	MGYP000116370307,MGYP000193036993,MGYP000232634809,MGYP000244333651,MGYP000278892303,MGYP000316889932,MGYP000346025520,MGYP000349659168,MGYP000356612217,MGYP000488061906,MGYP000630631436,MGYP000726416071,MGYP001315166442,MGYP003682048715,MGYP003682086349,MGYP003682090929,MGYP003682099047,MGYP003682101527,MGYP003682137893,MGYP003682156507,MGYP003682173547,MGYP003682188199,MGYP003682237735,MGYP003682544041,MGYP003682707003,MGYP003682958837,MGYP003683000681,MGYP003683109135,MGYP003683162385,MGYP003683264447,MGYP003683571831,MGYP003683800083,MGYP003684763975,MGYP003685194703,MGYP003685239861,MGYP003685393167,MGYP003685420219,MGYP003685460223,MGYP003685723775,MGYP003685781245,MGYP003685798605,MGYP003685860209,MGYP003686119285,MGYP003686848801,MGYP003687582097,MGYP003687622569,MGYP003687769389,MGYP003687973433,MGYP003688088157,MGYP003688103987,MGYP003688126633,MGYP003688324673,MGYP003688701891,MGYP003688711383,MGYP003688940767,MGYP003690004415,MGYP003690108105,MGYP003690270173,MGYP003690394007,MGYP003690479813,MGYP003690508033,MGYP003690537909,MGYP003690762099,MGYP003691155237,MGYP003691462317,MGYP003692089521,MGYP003692184995					5.42	5.42	38.33	1	1	1	1	1	1					44.290149277358864	25.719782067205177	73.36412625096229	Doubtful
213	Related Proteins	MGYP003682600567		MGYP003682600567,MGYP003684622261,MGYP003685930387,MGYP003687033857,MGYP003688803443,MGYP003689372171,MGYP003689657135	MGYP003684622261,MGYP003685930387,MGYP003687033857,MGYP003688803443,MGYP003689372171,MGYP003689657135					12.82	12.82	64.96	1	1	1	1	1	1					90.61195677844981	11.71283334218575	73.36412625096229	Doubtful
214	Related Proteins	MGYP002631601902		MGYP002631601902,MGYP003685400431,MGYP003685773757,MGYP003685987055	MGYP003685400431,MGYP003685773757,MGYP003685987055					4.71	4.71	71.38	1	1	1	1	3	3					60.346455940026644	60.502215108721074	83.50202429149797	Doubtful
